fecha_entrada,activo,sistema,precio_entrada,cantidad,capital_usdc,stop_loss,take_profit,kelly,precio_senal,slippage_bps,orden_stop_id,orden_take_id,fecha_cierre,precio_cierre,retorno_pct,resultado,notas,venue
2026-06-23,BNB/USDT,4h,574.02,0.19265342,100.0,562.54,631.42,10%,,,,,2026-06-24 16:44,562.44,-2.0,stop_loss,Primera operación real,binance
2026-06-24,ADA/USDT,diario,0.1472,311.63829,42.0,0.1428,0.159,4.2%,,,,,2026-06-24 17:43,0.1428,-3.0,stop_loss,Primera señal COMPRAR sistema diario,binance
2026-06-25,BNB/USDT,4h,553.73,0.18,99.58,551.74,609.57,10%,,,,,2026-06-26 14:00,551.6558100558659,-0.37,stop_loss,Ejecución manual — señal 4h 25 junio,binance
2026-06-26 10:30,ADA/USDT,diario,0.1439,292.93,42.15,0.145,0.1557,4.2%,,,,,2026-06-27 20:00,0.145,0.76,stop_loss,Ejecucion automatica parcial,binance
2026-06-26 10:30,ETH/USDT,diario,1551.33,0.02836,43.98,1547.26,1708.43,4.6%,,,,,2026-06-28 23:53,1547.26,-0.26,stop_loss,Ejecucion automatica parcial,binance
2026-06-26 10:30,BTC/USDT,diario,59725.99,0.0006,35.84,58531.47,64504.07,3.8%,,,,,2026-06-26 14:00,58529.9115,-2.0,stop_loss,Ejecucion manual — saldo insuficiente automatico,binance
2026-06-28 20:02,BNB/USDT,4h,549.15,0.182,100.0,549.1626,603.262,10.0%,,,,,2026-06-30 10:30,549.16,0.0,stop_loss,,binance
2026-06-30 10:30,BTC/USDT,diario,59300.01,0.0006,37.75,58177.7098,64114.2108,3.8%,59365.01,-10.9,9719290827,9719290828,2026-06-30 14:00,58176.6,-1.89,stop_loss,Reabierta - cierre erroneo por huerfana de op antigua,binance
2026-07-08 04:00,BNB/EUR,4h,498.54,0.2006,100.0,488.50,548.32,10.0%,498.47,1.4,,,,,,,OCO manual Bitvavo - cierre manual requerido,bitvavo
2026-07-08 11:09,BNB/EUR,4h,493.52,0.1883,92.85,483.24,542.41,10.0%,493.1,8.5,,,2026-07-08 11:15,493.43,-0.02,cerrado_manual,Cierre manual - posicion duplicada,bitvavo
2026-07-08 12:00,BNB/EUR,4h,496.56,0.1871,92.85,486.27,545.81,10.0%,496.19,7.5,,,2026-07-08 12:35,494.99,-0.31,cerrado_manual,Cierre manual - posicion duplicada,bitvavo
